hp_sizes,ts_sizes,capital_cost,opex,cost_of_heat,cost_elec,lifetime_cost,levelised_cost_of_heat,levelised_cost_of_energy
<<<<<<< HEAD
1000.0,0.0,600.0,1.8527682723233896,0.024199982522264095,1.8527682723233896,3846.050013110578,0.03958253446768709,0.05759623341972811
1000.0,200.0,705.2115231339762,1.5646023248128127,0.00978699838674082,1.5646023248128131,3446.3947962060242,0.030326710271189397,0.051611226703284004
1000.0,400.0,748.6884642170814,1.6228311514870983,0.010151533436021258,1.6228311514870988,3591.8886416224786,0.03405682132949978,0.05379005886957777
2000.0,0.0,1200.0,1.8527682723229255,0.024188165888253142,1.8527682723229255,4446.050013109765,0.054953269779108756,0.0665814884044496
2000.0,200.0,1305.2115231339765,1.5655104251978078,0.009866732201467185,1.565510425197808,4047.9857880805366,0.045750051502807275,0.06062030746746956
2000.0,400.0,1348.6884642170814,1.618751724149629,0.010254299987726938,1.6187517241496292,4184.741484927232,0.048858959151152535,0.06266828214544039
3000.0,0.0,1800.0,1.852768272323495,0.024186926833916,1.8527682723234948,5046.050013110762,0.0703345826701979,0.07556674338919823
3000.0,200.0,1905.2115231339765,1.565510425198463,0.009777888809528307,1.5655104251984633,4647.9857880816835,0.0611326033524806,0.06960556245222042
3000.0,400.0,1948.6884642170814,1.6242517922982875,0.010370846158185813,1.6242517922982878,4794.377604323682,0.06428571091726173,0.07179784211324147
=======
1000.0,0.0,600.0,1.8527682723233887,0.024199982522260147,1.852768272323389,3846.0500131105773,0.03958253446768705,0.057596233419728096
1000.0,200.0,705.2115231339762,1.5646023248128522,0.009786998403618024,1.5646023248128524,3446.394796206094,0.03032671027119117,0.05161122670328504
1000.0,400.0,748.6884642170814,1.622831151487098,0.010151533441976746,1.6228311514870981,3591.8886416224777,0.034056821329499755,0.05379005886957776
2000.0,0.0,1200.0,1.8527682723228713,0.024188165888250707,1.8527682723228716,4446.0500131096705,0.05495326977910632,0.0665814884044482
2000.0,200.0,1305.2115231339765,1.5655104251988086,0.009866732141225992,1.565510425198809,4047.98578808229,0.04575005150285224,0.060620307467495825
2000.0,400.0,1348.6884642170814,1.618751724149408,0.010254299983578215,1.6187517241494085,4184.741484926845,0.048858959151147865,0.0626682821454346
3000.0,0.0,1800.0,1.8527682723234877,0.024186926832242394,1.852768272323488,5046.050013110751,0.07033458266852428,0.07556674338919805
3000.0,200.0,1905.2115231339765,1.5655104251972194,0.009777888809637971,1.5655104251972196,4647.985788079505,0.06113260335242473,0.0696055624521878
3000.0,400.0,1948.6884642170814,1.624251792298287,0.010370846158182425,1.6242517922982873,4794.37760432368,0.06428571091726171,0.07179784211324146
>>>>>>> c61c8b3da79c92188ed9a5aad4904eca5fce210c
