hp_sizes,ts_sizes,sum_hp_output,sum_hp_usage,scop,sum_aux_output,sum_ed_import,sum_RES,sum_import,sum_export
<<<<<<< HEAD
1000.0,0.0,17530.80748550575,5893.102920775978,2.974800834328101,4732.452514486,11121.364329641,11942.734269789948,16388.492797943192,1854.7374324584691
1000.0,200.0,25916.764960467,8538.474754554452,3.0352920990535117,1941.9750006190002,10956.573077646,11942.734269789948,14656.334421531326,267.68473614980456
1000.0,400.0,31709.305473100998,10455.15096517764,3.0328883417095867,885.0086588595999,10956.573077608999,11942.734269789948,15460.357128021436,211.99757376496126
2000.0,0.0,17530.807272746348,5893.102853369861,2.97480083225116,4732.452727246,11123.619122682,11942.734269789948,16388.49279793762,1854.737287105469
2000.0,200.0,26069.714681523998,8591.734887038736,3.0342782946959965,1655.933481773,10956.573059675,11942.734269789948,14671.035157123912,515.166858096
2000.0,400.0,30205.88565133,9960.935074735517,3.032434748816193,801.6292029230001,11032.439131109,11942.734269789948,15407.444213022542,736.6800051701979
3000.0,0.0,17530.756288551118,5893.0863961913565,2.974800488226521,4732.503711436,11123.8566175,11942.734269789948,16388.492797944702,1854.7027600870001
3000.0,200.0,26109.353213647002,8602.007087368955,3.035262927414411,1868.214207745,10956.573078000998,11942.734269789948,14671.035157132585,292.613931788
3000.0,400.0,28603.221981171002,9457.978411467033,3.024242680284818,2150.7190593441974,11071.126346688,11942.734269789948,15516.897401036496,0.0
=======
1000.0,0.0,17530.807485499347,5893.1029207739175,2.9748008343280548,4732.452514496,11121.364329641,11942.734269789948,16388.492797943185,1854.737432455469
1000.0,200.0,25916.762570246,8538.473957759803,3.035292102365989,1941.9773428029998,10956.573077646,11942.734269789948,14656.334421531965,267.6831907428048
1000.0,400.0,31709.305444741,10455.150955945432,3.0328883416751786,885.0086680977998,10956.573077608999,11942.734269789948,15460.357128021431,211.99757376496126
2000.0,0.0,17530.807272746348,5893.102853369852,2.9748008322511645,4732.452727246,11123.619122682,11942.734269789948,16388.492797937153,1854.737287105469
2000.0,200.0,26069.714933554,8591.73496969031,3.0342782948405693,1655.933399123,10956.573059675,11942.734269789948,14671.035157134052,515.166858096
2000.0,400.0,30205.885694335,9960.935088627451,3.032434748904399,801.629172453,11032.439131108,11942.734269789948,15407.444213020553,736.6800217401978
3000.0,0.0,17530.756288551118,5893.086396191347,2.974800488226526,4732.503711436,11123.85661782,11942.734269789948,16388.49279794464,1854.7027600870001
3000.0,200.0,26109.353212986,8602.007087152175,3.0352629274140597,1868.214207965,10956.573078000998,11942.734269789948,14671.035157121072,292.613931788
3000.0,400.0,28603.221981181003,9457.978411470247,3.024242680284847,2150.7190593441974,11071.126346688,11942.734269789948,15516.89740103649,0.0
>>>>>>> c61c8b3da79c92188ed9a5aad4904eca5fce210c
