turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
NORDEX N 100 3300,0,,0,,0,,0,13000,69000,136000,219000,317000,434000,569000,725000,903000,1106000,1334000,1583000,1852000,2136000,2430000,2698000,2907000,3067000,3182000,3256000,3294000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,0,
NORDEX N 117 2400,0,,0,,0,,25000,82000,154000,244000,354000,486000,643000,827000,1038000,1272000,1525000,1794000,2037000,2211000,2326000,2386000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,,0,,0,,0,,0,,0,,
NORDEX N 117 3000,0,,0,,0,,16000,56000,129000,221000,333000,467000,624000,807000,1020000,1263000,1534000,1825000,2131000,2420000,2643000,2807000,2916000,2978000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,0,
NORDEX N 27 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORDEX N 27 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORDEX N 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORDEX N 43 600,0,0,0,0,0,0,1560,9360,17160,30905,44650,58335,72020,97865,123710,159980,196250,236525,276800,320215,363630,403955,444280,488930,533580,558665,583750,601215,618680,619085,619490,618305,617120,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,599100,0,
NORDEX N 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORDEX N 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORDEX N 60 1300,0,0,0,0,0,0,0,14500,29000,51000,73000,102000,131000,186000,241000,308500,376000,456000,536000,620000,704000,787500,871000,943500,1016000,1070000,1124000,1185500,1247000,1274000,1301000,1322500,1344000,1354000,1364000,1343000,1322000,1320500,1319000,1316500,1314000,1313000,1312000,1309500,1307000,1303000,1299000,1295500,1292000,1292000,1292000,0,
NORDEX N 62,0,,0,,0,,0,,20000,,81000,,159000,,225000,,385000,,571000,,760000,,925000,,1056000,,1168000,,1250000,,1294000,,1300000,,1287000,,1262000,,1232000,,1203000,,1179000,,1158000,,1146000,,1140000,,1138000,0,
NORDEX N 80 2500,0,0,0,0,0,0,0,7500,15000,68000,121000,186000,251000,342000,433000,550000,667000,820500,974000,1146500,1319000,1497000,1675000,1839500,2004000,2142500,2281000,2372000,2463000,2481500,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
NORDEX N 90 2300,0,0,0,0,0,0,0,17500,35000,105000,175000,263500,352000,466000,580000,725000,870000,1053500,1237000,1430000,1623000,1817500,2012000,2121000,2230000,2265000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,0,
NORDEX N 90 2500 HS,0,0,0,0,0,0,0,5000,40000,103000,170000,249000,341000,448000,572000,716000,880000,1062000,1262000,1475000,1702000,1928000,2116000,2262000,2370000,2443000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
NORDEX N 90 2500 LS,0,0,0,0,0,0,0,5000,35000,98000,175000,260000,352000,462000,580000,717000,870000,1045000,1237000,1430000,1623000,1835000,2043000,2200000,2345000,2430000,2475000,2490000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
NORDEX S 70 1500,0,,0,,0,,0,,24000,,86000,,188000,,326000,,526000,,728000,,1006000,,1271000,,1412000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,0,
NORDEX S 77 1500,0,,0,,0,,0,,25000,,87000,,214000,,377000,,589000,,855000,,1162000,,1453000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,0,
NORDTANK NTK 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORDTANK NTK 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPOWER 3.0 M122,0,,0,,0,,27000,,157000,,363000,,675000,,1121000,,1650000,,2231000,,2749000,,2948000,,2970000,,2970000,,2970000,,2970000,,2970000,,2970000,,2970000,,2970000,,2970000,,2970000,,2970000,,0,,0,,0,,
REPOWER 3.2 M114,0,,0,,0,,27000,,151000,,327000,,598000,,978000,,1471000,,2031000,,2594000,,3033000,,3200000,,3200000,,3200000,,3200000,,3200000,,3200000,,3200000,,3200000,,3200000,,3200000,,3200000,,0,,0,,0,,
REPOWER 3.4 M104,0,0,0,0,0,,0,37000,94000,,253000,,479000,,791000,,1219000,,1745000,,2309000,,2860000,,3295000,,3370000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,,3400000,0,
REPOWER 5M,0,0,0,0,0,0,0,0,50000,137500,225000,377500,530000,735000,940000,1205000,1470000,1805000,2140000,2540000,2940000,3387500,3835000,4192500,4550000,4725000,4900000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,0,
REPOWER J 43 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPOWER J 48 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPOWER J 57 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPOWER MD 70 1500,0,,0,,0,,0,,24000,,86000,,188000,,326000,,525000,,728000,,1006000,,1271000,,1412000,,1497000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,0,
REPOWER MD 77,0,,0,,0,,2000,,44000,,129000,,241000,,396000,,594000,,846000,,1100000,,1318000,,1467000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,0,,0,,0,,0,,0,,
REPOWER MM 100 2000,0,,0,,0,,20000,,102000,,239000,,452000,,746000,,1126000,,1559000,,1901000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,0,0,,0,,0,,
REPOWER MM 70,0,,0,,0,,0,,18000,,94000,,197000,,333000,,512000,,735000,,1009000,,1305000,,1597000,,1865000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,0,
REPOWER MM 82 2050,0,0,0,0,0,0,0,13480,28260,63650,109080,164560,225070,305680,386280,466870,577630,683340,804130,945030,1080000,1220000,1380000,1510000,1640000,1770000,1870000,1940000,2010000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,0,
REPOWER MM 92 2050,0,0,0,0,0,0,4493.33,13480,55190,96400,152760,224110,305580,386990,508660,610150,741850,883540,1050000,1210000,1380000,1590000,1770000,1930000,2030000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,,0,,
SIEMENS SWT 2.3 93,0,0,0,0,0,0,0,38515,95400,123380,173080,258000,355890,475850,608780,746260,883560,1040000,1200000,1350000,1520000,1690000,1830000,1950000,2090000,2190000,2260000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000,0,
SIEMENS SWT 3.6 120,0,,0,,0,,0,,161000,,351000,,635000,,1026000,,1544000,,2204000,,2910000,,3399000,,3567000,,3596000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,,3600000,0,
SÜDWIND N 3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÜDWIND S 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SÜDWIND S 46,0,,0,,0,,4000,,17000,,44000,,87000,,145000,,227000,,327000,,454000,,590000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,0,
SUZLON S 52 600,0,0,0,0,0,0,0,0,1000,17500,34000,65000,96000,134500,173000,221000,269000,320500,372000,421500,471000,508500,546000,565000,584000,592000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,0,
SUZLON S 64 1250,0,0,0,0,0,0,0,8750,35000,62000,89000,118500,148000,211500,275000,360500,446000,533500,621000,716000,811000,900500,990000,1058500,1127000,1162500,1198000,1224000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,0,
SUZLON S 64 950,0,0,0,0,0,0,16000,26500,37000,68500,100000,140500,181000,234000,287000,369500,452000,548500,645000,753000,861000,905500,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,0,
SUZLON S 82 1500,0,0,0,0,0,0,0,0,1000,50000,99000,181000,263000,364500,466000,587500,709000,841500,974000,1096500,1219000,1300500,1382000,1410000,1438000,1455500,1473000,1486500,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,,0,,0,,0,,0,,0,,
SUZLON S 88,0,0,0,0,0,0,0,0,14000,76000,138000,225000,312000,429000,546000,693000,840000,1010000,1180000,1357500,1535000,1695500,1856000,1946500,2037000,2062500,2088000,2094000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,0,
TACKE T 600 48,0,0,0,0,0,0,0,0,22500,35250,48000,67100,86200,112150,138100,173950,209800,247900,286000,326700,367400,408500,449600,487350,525100,544700,564300,581900,599500,604400,609300,612750,616200,613250,610300,605400,600500,595100,589700,595600,601500,0,0,0,0,0,0,0,0,0,0,,
TACKE TW 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACKE TW 600E,0,0,0,0,0,0,12800,16460,23780,38410,56710,75000,100600,137200,173780,210370,246950,312800,367680,411580,462800,499390,532320,557930,579880,600000,605490,609150,612800,612800,616460,616460,616460,616460,620120,623780,623780,623780,623780,623780,623780,623780,627440,627440,627440,627440,627440,627440,627440,627440,627440,0,
VENSYS 100,0,,0,,0,,47200,81900,125400,180200,250100,334500,437400,557200,696400,853700,1034800,1236400,1449300,1675800,1904100,2116800,2285500,2389000,2472100,2492000,2499400,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,0,
VENSYS 109,0,,0,,0,,54700,97400,151200,216500,298100,398600,518200,659300,821700,1009300,1222800,1461500,1720100,1966100,2193000,2357700,2448700,2485500,2494200,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
VENSYS 112,0,,0,,0,,47400,93600,154200,228000,315900,421200,548500,697300,871100,1068000,1290100,1538400,1808800,2071700,2269500,2412600,2465100,2497900,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
VENSYS 77,0,,0,,0,,18300,41400,70800,105600,147700,199300,262700,334500,420300,519600,633700,758400,892500,1032300,1161500,1287600,1372700,1440000,1468300,1491800,1495600,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,
VENSYS 82,0,,0,,0,,25900,52400,85800,125700,175100,236200,311000,396100,496800,614400,746800,889700,1040600,1185000,1309400,1402700,1461600,1483900,1491200,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,,0,,0,,0,,
VESTAS NM 52 900,0,0,0,0,0,0,0,16020,36190,58350,80530,104710,136920,173150,213390,257660,301910,350190,400470,464810,533170,591490,645790,694070,740330,778560,814800,840990,865170,881320,895450,901560,901650,895710,883740,871780,861810,851850,841910,833960,828020,822080,812120,806180,800240,796310,792380,788450,784510,782580,780650,0,
VESTAS V 100 1800,0,0,0,0,0,0,0,0,119310,181120,266950,359660,469530,600000,747640,919310,1110000,1290000,1460000,1620000,1730000,1770000,1790000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,0,
VESTAS V 112 3000,0,0,0,0,0,0,72120,106730,170190,245190,337500,441350,568270,729810,925960,1170000,1420000,1680000,1960000,2270000,2560000,2810000,2930000,2980000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,0,
VESTAS V 117 3300,0,,0,,0,,29000,81000,146000,226000,327000,452000,600000,775000,981000,1216000,1483000,1780000,2103000,2437000,2753000,2999000,3159000,3241000,3276000,3290000,3297000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,0,
VESTAS V 126 3300,0,,0,,0,,36000,99000,177000,274000,393000,537000,712000,919000,1161000,1436000,1747000,2082000,2421000,2741000,3011000,3185000,3267000,3293000,3298000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,0,,0,,0,,
VESTAS V 29,0,,0,,0,,0,,7100,,20500,,38300,,61900,,92200,,128000,,165000,,196000,,216000,,223000,,225000,,225000,,225000,,225000,,225000,,225000,,225000,,225000,,225000,,225000,,225000,,225000,0,
VESTAS V 39 500,0,,0,,0,,0,,0,,18000,,60000,,105000,,163000,,232000,,305000,,375000,,440000,,478000,,493000,,498500,,499700,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,,500000,0,
VESTAS V 42 600,0,0,0,0,0,0,0,0,0,0,21500,43350,65200,92600,120000,154000,188000,228000,268000,312000,356000,398000,440000,475000,510000,533000,556000,569000,582000,588000,594000,596000,598000,599000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,0,
VESTAS V 44 600,0,0,0,0,0,0,0,0,0,0,30400,53850,77300,106150,135000,170500,206000,246500,287000,329000,371000,410500,450000,482000,514000,536000,558000,570000,582000,588000,594000,596000,598000,599000,600000,600000,600000,600000,600000,600000,600000,,0,,0,,0,,0,,0,,
VESTAS V 47 660,0,0,0,0,0,,0,,5300,,44900,,95400,,161000,,242000,,334000,,426000,,511000,,577000,,620000,,644000,,654000,,658000,,660000,,660000,,660000,,660000,,660000,,660000,,660000,,660000,,660000,0,
VESTAS V 52 850,0,0,0,0,0,0,0,0,9110,22480,37990,59600,81180,105830,130430,170190,206960,252770,301660,344450,396330,454310,515280,567190,609980,652770,698630,741410,778180,802790,818300,836880,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,0,0,,
VESTAS V 66 1650,0,0,0,0,0,0,0,0,7500,37150,66800,105400,144000,196700,249400,318800,388200,474000,559800,653800,747800,840800,933800,1020700,1107600,1188100,1268600,1341300,1414000,1471800,1529600,1566000,1602400,1619200,1636000,1641000,1646000,1648000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,0,
VESTAS V 66 1750,0,,0,,0,,0,,33300,,93900,,178000,,294000,,452000,,655000,,900000,,1167000,,1418000,,1603000,,1702000,,1739000,,1748000,,1750000,,1750000,,1750000,,1750000,,1750000,,1750000,,1750000,,1750000,,1750000,0,
VESTAS V 80 1800,0,0,0,0,0,0,0,0,3000,51000,99000,179500,260000,362500,465000,600000,735000,875000,1015000,1180000,1345000,1492000,1639000,1707000,1775000,1786000,1797000,1799500,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1802000,1801000,1800000,1800000,1800000,0,
VESTAS V 80 2000,0,0,0,0,0,0,0,0,58850,72480,106710,154670,223260,309030,411980,525240,645370,768940,899380,1030000,1170000,1300000,1420000,1550000,1660000,1750000,1830000,1890000,1930000,1950000,1970000,1985000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,0,
VESTAS V 82 1500,0,,0,,0,,0,,69000,,173000,,307000,,510000,,752000,,1001000,,1262000,,1433000,,1490000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,0,,0,,0,,0,,0,,0,,0,,
VESTAS V 82 1650,0,0,0,0,0,0,0,18920,73810,147790,237300,338470,451290,567990,680810,797510,921970,1040000,1160000,1260000,1360000,1440000,1500000,1550000,1580000,1610000,1630000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,1650000,,0,,0,,0,,0,,0,,
VESTAS V 90 1800,0,0,0,0,0,0,0,18560,52210,96880,157990,241120,335200,423780,556370,683410,832430,992490,1140000,1310000,1480000,1640000,1750000,1790000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,0,
VESTAS V 90 2000,0,0,0,0,0,4595,13785,29560,57700,102370,157990,241120,329710,429280,556370,677920,826940,997990,1190000,1350000,1560000,1730000,1860000,1950000,1970000,1990000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,0,
VESTAS V 90 3000,0,0,0,0,0,0,0,26442.5,88141.7,129410,182530,247120,317480,422540,515980,644030,795170,992550,1200000,1380000,1560000,1750000,1950000,2140000,2340000,2540000,2730000,2850000,2910000,2970000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,0,
WINDWORLD W 42 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDWORLD W 52 750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTN WTN 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOND Z 40 550,0,0,0,0,0,0,0,0,1670,10580,26720,37430,55380,82350,111140,136310,165100,192080,224480,258690,291090,341560,384810,404560,442380,478390,503560,537770,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,0,
ZOND Z 50 750,0,0,0,0,0,0,0,0,8290,28000,53390,78830,116110,147340,190160,244810,293410,353580,419810,480010,540000,600630,666850,721250,746690,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,0,
