turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
# COMPOSITE IEC CLASS II,0,0,0,0,0,0,0,0,42000,87000,132000,196500,261000,345750,430500,540750,651000,780750,910500,1038000,1165500,1261500,1357500,1407750,1458000,1473750,1489500,1493250,1497000,1498500,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,
# COMPOSITE IEC CLASS III,0,0,0,0,0,0,9000,35250,61500,107250,153000,218250,283500,375000,466500,587250,708000,851250,994500,1125750,1257000,1338000,1419000,1449750,1480500,1488750,1497000,1497750,1498500,1499250,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,,0,,0,,0,,
DEWIND D4 600,0,,0,,0,,7000,,22000,,52000,,93000,,158000,,244000,,354000,,489000,,590000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,600000,,0,,0,,0,,0,,0,,0,,
DEWIND D6 1000,0,,0,,0,,12000,,34000,,80000,,158000,,271000,,413000,,586000,,781000,,971000,,1000000,,1000000,,1000000,,1000000,,1000000,,940000,,840000,,750000,,650000,,560000,,475000,,390000,0,0,,0,,
DEWIND D8 2000,0,0,0,0,0,0,3626.67,10880,26750,50480,85970,141070,215770,298320,396560,518320,655780,804990,965970,1150000,1350000,1540000,1700000,1810000,1900000,1950000,1990000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,0,
ENERCON E 101 3000,0,,0,,3000,,37000,,118000,,258000,,479000,,790000,,1200000,,1710000,,2340000,,2867000,,3034000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,,3050000,0,
ENERCON E 112 4500,0,,0,,0,,38000,,135000,,301000,,561000,,933000,,1393000,,1983000,,2720000,,3540000,,4180000,,4450000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,,4500000,0,
ENERCON E 115 2500,0,,0,,3000,,48000,,153000,,335000,,620000,,1023000,,1530000,,2015000,,2350000,,2480000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,0,
ENERCON E 126 7500,0,,0,,0,,55000,,175000,,410000,,760000,,1250000,,1900000,,2700000,,3750000,,4850000,,5750000,,6500000,,7000000,,7350000,,7500000,,7580000,,7580000,,7580000,,7580000,,7580000,,7580000,,7580000,,7580000,,7580000,0,
ENERCON E 30,0,,0,,0,,3700,,10000,,21600,,38300,,62400,,93100,,132600,,181600,,230500,,269300,,290500,,300000,,300000,,300000,,300000,,300000,,300000,,300000,,300000,,300000,,300000,,300000,,300000,0,
