hp_sizes,ts_sizes,local_RES_used,total_RES_self_consumption,grid_RES_used,total_RES_used,heat_met_RES,demand_met_RES,HP_met_RES,HP_size_ratio,HP_utilisation,days_storage_content
<<<<<<< HEAD
1000.0,0.0,69.37500247736207,258187.11656521747,0.0,258187.11656521747,5.78944183404093,8.685132975730669,5.7970278679946885,0.7,100.0,0.0
1000.0,200.0,90.10447166798521,335334.23998335283,0.0,335334.23998335283,11.596149881516629,10.93064048797735,11.54677500660077,1.06,107.0,0.513716756390289
1000.0,400.0,92.48366246890168,344188.67444405874,0.0,344188.67444405874,12.172468472185631,11.160748135832533,12.114893909053084,1.07,108.0,1.027433512780578
2000.0,0.0,69.37500247736207,258187.11656521747,0.0,258187.11656521747,5.7894418340409315,8.691468118697355,5.7894418340409315,1.0,100.0,0.0
2000.0,200.0,87.79304513460582,326731.99810234824,0.0,326731.99810234824,10.766931688741876,10.537109319976512,10.766931688741876,1.97,110.00000000000001,0.513716756390289
2000.0,400.0,89.92791883149603,334677.17812898493,0.0,334677.17812898493,11.26144237808755,10.72442748863448,11.26144237808755,1.99,111.00000000000001,1.027433512780578
3000.0,0.0,69.37500247736207,258187.11656521747,0.0,258187.11656521747,5.7894418340409315,8.691468118697355,5.7894418340409315,1.0,100.0,0.0
3000.0,200.0,87.42227531007704,325352.13520525186,0.0,325352.13520525186,10.55526635878658,10.44424139131841,10.55526635878658,2.75,111.00000000000001,0.513716756390289
3000.0,400.0,89.17466887417875,331873.87106465606,0.0,331873.87106465606,10.825478648450739,10.530945224006604,10.825478648450739,2.95,112.99999999999999,1.027433512780578
=======
1000.0,0.0,69.37500247736206,258187.11656521738,0.0,258187.11656521738,5.78944183404093,8.685132975730669,5.7970278679946885,0.7,100.0,0.0
1000.0,200.0,90.10447166798518,335334.23998335266,0.0,335334.23998335266,11.596149881516636,10.93064048797735,11.546775006600777,1.06,107.0,0.513716756390289
1000.0,400.0,92.48366246890166,344188.6744440587,0.0,344188.6744440587,12.17246847218564,11.160748135832533,12.114893909053093,1.07,108.0,1.027433512780578
2000.0,0.0,69.37500247736206,258187.11656521738,0.0,258187.11656521738,5.7894418340409315,8.691468118697355,5.7894418340409315,1.0,100.0,0.0
2000.0,200.0,87.79304513460579,326731.9981023481,0.0,326731.9981023481,10.766931688741877,10.537109319976512,10.766931688741877,1.97,110.00000000000001,0.513716756390289
2000.0,400.0,89.927918831496,334677.1781289849,0.0,334677.1781289849,11.26144237808756,10.72442748863448,11.26144237808756,1.99,111.00000000000001,1.027433512780578
3000.0,0.0,69.37500247736206,258187.11656521738,0.0,258187.11656521738,5.7894418340409315,8.691468118697355,5.7894418340409315,1.0,100.0,0.0
3000.0,200.0,87.42227531007701,325352.1352052518,0.0,325352.1352052518,10.55526635878659,10.444241391318398,10.55526635878659,2.75,111.00000000000001,0.513716756390289
3000.0,400.0,89.17466887417874,331873.871064656,0.0,331873.871064656,10.82547864845075,10.530945224006604,10.82547864845075,2.95,112.99999999999999,1.027433512780578
>>>>>>> c61c8b3da79c92188ed9a5aad4904eca5fce210c
